item,worker,label
0,236,3
22,236,2
40,236,0
0,559,1
31,559,1
0,214,1
111,214,0
0,193,2
1,193,1
3,193,3
4,193,3
5,193,2
7,193,0
8,193,2
9,193,2
10,193,0
11,193,2
12,193,2
13,193,1
14,193,0
15,193,1
16,193,3
17,193,1
18,193,0
19,193,2
20,193,2
21,193,3
22,193,1
23,193,3
24,193,0
25,193,2
26,193,0
27,193,3
28,193,3
29,193,0
30,193,0
40,193,1
41,193,1
42,193,0
43,193,2
44,193,3
45,193,1
46,193,2
47,193,0
48,193,2
49,193,1
50,193,1
51,193,2
52,193,0
53,193,3
54,193,0
55,193,1
56,193,2
57,193,0
58,193,1
68,193,3
0,348,1
15,348,1
65,348,1
0,418,2
271,418,0
722,418,0
723,418,2
724,418,3
725,418,2
726,418,3
727,418,0
728,418,0
729,418,1
0,310,3
3,310,2
4,310,3
8,310,2
9,310,2
0,513,0
0,1,3
3,1,2
4,1,3
5,1,3
6,1,0
7,1,0
8,1,2
9,1,2
10,1,0
11,1,2
12,1,2
13,1,1
14,1,0
15,1,1
16,1,3
17,1,1
18,1,0
19,1,2
20,1,2
21,1,0
22,1,1
23,1,3
24,1,0
25,1,2
26,1,0
27,1,2
28,1,2
29,1,3
30,1,1
32,1,1
33,1,1
34,1,0
35,1,2
36,1,3
37,1,3
38,1,0
39,1,2
41,1,1
42,1,0
43,1,2
44,1,3
45,1,1
46,1,2
47,1,2
48,1,2
49,1,1
50,1,1
51,1,2
52,1,0
53,1,3
54,1,0
55,1,1
56,1,2
57,1,0
58,1,0
59,1,3
61,1,3
63,1,2
65,1,1
67,1,0
68,1,1
69,1,0
70,1,3
71,1,0
72,1,3
73,1,1
74,1,3
75,1,1
76,1,2
77,1,1
83,1,0
87,1,3
88,1,0
89,1,3
93,1,1
94,1,3
95,1,2
96,1,3
100,1,1
101,1,0
104,1,1
106,1,3
107,1,1
108,1,0
110,1,1
111,1,0
112,1,1
113,1,1
114,1,3
115,1,2
117,1,3
121,1,0
122,1,1
123,1,2
124,1,1
129,1,2
130,1,0
131,1,1
132,1,0
133,1,1
134,1,2
135,1,3
136,1,3
137,1,1
138,1,2
139,1,1
140,1,2
141,1,0
142,1,2
143,1,0
144,1,1
145,1,3
146,1,2
147,1,1
148,1,0
149,1,1
150,1,2
151,1,1
152,1,0
153,1,3
154,1,1
155,1,3
156,1,3
157,1,0
158,1,3
159,1,1
160,1,2
161,1,3
162,1,0
163,1,2
165,1,2
166,1,0
167,1,1
168,1,0
169,1,0
171,1,2
172,1,0
173,1,0
174,1,3
175,1,2
176,1,0
177,1,1
178,1,0
179,1,2
180,1,1
181,1,3
182,1,0
183,1,2
184,1,1
185,1,1
186,1,2
187,1,3
188,1,2
189,1,0
190,1,2
192,1,3
193,1,2
194,1,1
195,1,2
198,1,0
199,1,1
202,1,3
203,1,0
204,1,0
205,1,2
206,1,1
207,1,1
208,1,0
209,1,0
210,1,1
214,1,2
215,1,1
216,1,2
217,1,2
218,1,3
219,1,3
220,1,2
221,1,0
222,1,3
223,1,2
224,1,0
225,1,2
226,1,3
227,1,0
228,1,1
229,1,3
230,1,2
231,1,1
232,1,3
233,1,2
234,1,0
235,1,2
236,1,0
237,1,2
238,1,1
239,1,0
240,1,2
241,1,0
242,1,1
243,1,3
244,1,0
245,1,2
246,1,1
247,1,3
248,1,1
249,1,3
250,1,2
251,1,1
252,1,3
253,1,3
254,1,1
255,1,0
256,1,0
257,1,2
258,1,3
259,1,2
260,1,1
261,1,2
262,1,3
263,1,0
264,1,1
265,1,0
266,1,1
267,1,0
268,1,2
269,1,1
270,1,0
271,1,0
272,1,2
273,1,3
274,1,0
275,1,1
281,1,3
282,1,0
283,1,2
284,1,0
285,1,2
286,1,3
287,1,0
288,1,3
289,1,3
290,1,2
291,1,0
292,1,0
293,1,1
294,1,3
295,1,3
296,1,0
297,1,2
298,1,0
299,1,1
300,1,2
301,1,2
302,1,0
303,1,0
304,1,3
305,1,2
306,1,1
307,1,3
308,1,1
309,1,2
310,1,3
311,1,0
312,1,1
313,1,3
314,1,3
316,1,1
317,1,3
318,1,3
319,1,0
320,1,1
321,1,3
322,1,2
323,1,0
324,1,3
325,1,0
326,1,1
327,1,3
328,1,1
329,1,2
330,1,3
331,1,0
332,1,1
333,1,2
334,1,2
335,1,2
336,1,3
337,1,1
338,1,0
339,1,2
340,1,1
341,1,1
342,1,2
343,1,0
344,1,3
345,1,2
346,1,2
347,1,0
348,1,1
349,1,0
350,1,3
351,1,1
352,1,2
353,1,0
354,1,2
355,1,3
356,1,0
357,1,1
358,1,2
359,1,0
360,1,1
361,1,2
363,1,2
364,1,3
365,1,1
366,1,0
367,1,3
368,1,3
369,1,1
370,1,3
371,1,2
372,1,1
373,1,1
374,1,3
375,1,2
376,1,2
377,1,0
378,1,1
379,1,3
380,1,2
381,1,3
382,1,3
383,1,2
384,1,1
385,1,0
386,1,3
387,1,2
388,1,1
389,1,2
390,1,3
391,1,0
392,1,0
393,1,1
394,1,2
395,1,1
396,1,3
397,1,1
398,1,0
399,1,1
400,1,3
401,1,2
402,1,3
403,1,0
404,1,3
405,1,1
406,1,3
413,1,2
414,1,3
415,1,1
416,1,2
417,1,2
420,1,2
421,1,0
422,1,2
425,1,3
426,1,0
427,1,2
428,1,2
429,1,1
430,1,0
431,1,2
432,1,0
436,1,0
437,1,3
438,1,2
439,1,0
440,1,0
441,1,1
442,1,0
443,1,2
444,1,0
445,1,0
446,1,1
447,1,2
448,1,0
449,1,0
450,1,0
451,1,1
452,1,2
453,1,1
454,1,0
455,1,2
456,1,0
457,1,1
458,1,0
459,1,1
460,1,2
461,1,3
462,1,2
463,1,3
464,1,2
465,1,1
466,1,2
467,1,2
468,1,3
469,1,3
470,1,1
471,1,2
472,1,0
473,1,1
474,1,0
475,1,2
476,1,1
477,1,3
478,1,2
479,1,2
480,1,2
481,1,0
482,1,3
483,1,1
484,1,0
485,1,0
486,1,2
487,1,1
488,1,2
489,1,1
490,1,3
491,1,1
492,1,0
493,1,3
494,1,3
