item,truth
0,3
1,1
2,1
3,2
4,3
5,1
6,2
7,0
8,2
9,1
10,0
11,2
12,2
13,1
14,0
15,1
16,3
17,1
18,0
19,2
20,2
21,3
22,1
23,3
24,0
25,2
26,0
27,3
28,3
29,0
30,0
31,1
32,1
33,1
34,0
35,2
36,3
37,3
38,0
39,2
40,2
41,1
42,0
43,2
44,3
45,1
46,2
47,0
48,2
49,1
50,1
51,2
52,0
53,3
54,0
55,1
56,2
57,0
58,1
59,3
60,2
61,3
62,0
63,0
64,0
65,1
66,1
67,2
68,3
69,0
70,3
71,0
72,3
73,1
74,3
75,1
76,2
77,1
78,3
79,0
80,3
81,0
82,3
83,0
84,3
85,2
86,2
87,1
88,3
89,0
90,3
91,2
92,0
93,1
94,3
95,2
96,3
97,1
98,1
99,2
100,1
101,0
102,0
103,1
104,1
105,0
106,3
107,1
108,0
109,1
110,1
111,0
112,1
113,1
114,0
115,2
116,3
117,3
118,3
119,3
120,3
121,0
122,1
123,2
124,3
125,3
126,3
127,0
128,1
129,2
130,0
131,1
132,0
133,1
134,2
135,3
136,3
137,1
138,2
139,1
140,2
141,0
142,2
143,0
144,1
145,3
146,2
147,1
148,0
149,1
150,0
151,1
152,0
153,2
154,1
155,3
156,3
157,0
158,3
159,1
160,2
161,3
162,0
163,2
164,1
165,2
166,0
167,1
168,0
169,0
170,3
171,1
172,0
173,0
174,3
175,2
176,3
177,1
178,1
179,2
180,1
181,3
182,0
183,2
184,1
185,1
186,2
187,3
188,2
189,0
190,2
191,0
192,3
193,2
194,1
195,2
196,0
197,2
198,0
199,1
200,2
201,3
202,0
203,0
204,1
205,2
206,1
207,1
208,0
209,0
210,1
211,0
212,2
213,3
214,2
215,1
216,2
217,1
218,0
219,1
220,2
221,0
222,3
223,2
224,0
225,2
226,3
227,0
228,1
229,3
230,2
231,1
232,3
233,2
234,0
235,2
236,0
237,2
238,1
239,0
240,2
241,0
242,1
243,3
244,0
245,2
246,1
247,3
248,1
249,3
250,2
251,1
252,3
253,3
254,1
255,0
256,0
257,2
258,3
259,2
260,1
261,2
262,3
263,0
264,1
265,2
266,1
267,0
268,2
269,1
270,0
271,0
272,2
273,3
274,0
275,3
276,1
277,1
278,1
279,3
280,0
281,3
282,0
283,2
284,0
285,2
286,3
287,0
288,3
289,0
290,2
291,0
292,0
293,1
294,3
295,3
296,0
297,2
298,0
299,1
300,2
301,2
302,0
303,3
304,3
305,2
306,1
307,3
308,1
309,2
310,3
311,0
312,1
313,3
314,3
315,1
316,1
317,3
318,2
319,0
320,1
321,3
322,2
323,0
324,3
325,0
326,1
327,3
328,1
329,2
330,3
331,0
332,1
333,2
334,2
335,2
336,3
337,1
338,0
339,2
340,1
341,1
342,2
343,0
344,3
345,2
346,2
347,0
348,1
349,0
350,3
351,1
352,2
353,0
354,2
355,3
356,0
357,1
358,2
359,0
360,1
361,2
362,3
363,2
364,3
365,1
366,0
367,3
368,3
369,1
370,3
371,2
372,1
373,1
374,3
375,2
376,2
377,0
378,1
379,3
380,2
381,3
382,3
383,2
384,1
385,0
386,3
387,2
388,1
389,2
390,3
391,0
392,0
393,1
394,2
395,1
396,3
397,1
398,0
399,1
400,3
401,2
402,3
403,0
404,3
405,1
406,3
407,3
408,2
409,2
410,0
411,1
412,0
413,2
414,3
415,1
416,2
417,2
418,1
419,3
420,2
421,0
422,2
423,1
424,2
425,3
426,0
427,2
428,0
429,3
430,0
431,2
432,0
433,1
434,2
435,3
436,0
437,3
438,2
439,0
440,0
441,1
442,0
443,2
444,3
445,0
446,1
447,2
448,0
449,0
450,0
451,1
452,2
453,1
454,0
455,2
456,0
457,1
458,0
459,1
460,2
461,3
462,2
463,3
464,3
465,1
466,2
467,2
468,3
469,0
470,1
471,2
472,0
473,1
474,0
475,2
476,1
477,3
478,2
479,2
480,2
481,0
482,3
483,1
484,0
485,0
486,2
487,1
488,2
489,1
490,3
491,1
492,0
493,3
494,3
495,0
496,0
497,2
498,1
499,2
500,1
501,2
502,0
503,2
504,3
505,3
506,1
507,3
508,0
509,0
510,2
511,1
512,2
513,0
514,1
515,3
516,3
517,0
518,2
519,1
520,0
521,2
522,2
523,0
524,2
525,0
526,1
527,1
528,2
529,3
530,1
531,0
532,1
533,2
534,3
535,2
536,0
537,1
538,0
539,1
540,2
541,2
542,0
543,0
544,2
545,3
546,0
547,1
548,1
549,0
550,2
551,2
552,0
553,3
554,1
555,2
556,3
557,3
558,2
559,3
560,1
561,0
562,0
563,3
564,1
565,1
566,1
567,2
568,0
569,3
570,1
571,2
572,3
573,2
574,0
575,2
576,1
577,0
578,0
579,3
580,2
581,2
582,0
583,3
584,1
585,2
586,3
587,1
588,0
589,3
590,2
591,2
592,3
593,3
594,1
595,0
596,1
597,1
598,1
599,2
600,0
601,1
602,2
603,0
604,1
605,2
606,0
607,2
608,1
609,1
610,2
611,1
612,2
613,0
614,1
615,3
616,0
617,0
618,2
619,0
620,1
621,2
622,3
623,0
624,1
625,3
626,1
627,0
628,3
629,0
630,2
631,3
632,0
633,2
634,0
635,1
636,1
637,0
638,1
639,0
640,2
641,1
642,0
643,3
644,0
645,3
646,0
647,3
648,2
649,0
650,2
651,2
652,0
653,3
654,0
655,2
656,3
657,1
658,0
659,0
660,1
661,2
662,0
663,2
664,3
665,2
666,1
667,1
668,3
669,0
670,1
671,2
672,1
673,2
674,0
675,0
676,1
677,0
678,1
679,0
680,1
681,2
682,2
683,3
684,0
685,1
686,0
687,0
688,3
689,0
690,2
691,2
692,3
693,2
694,3
695,0
696,3
697,1
698,0
699,1
700,0
701,0
702,1
703,0
704,3
705,1
706,0
707,1
708,2
709,3
710,0
711,2
712,1
713,0
714,3
715,3
716,0
717,2
718,2
719,0
720,3
721,0
722,0
723,2
724,3
725,2
726,3
727,1
728,0
729,1
730,0
731,0
732,0
733,1
734,2
735,0
736,1
737,2
738,0
739,2
740,3
741,1
742,0
743,2
744,0
745,1
746,2
747,3
748,2
749,1
750,1
751,0
752,0
753,1
754,1
755,0
756,1
757,0
758,1
759,2
760,0
761,3
762,2
763,1
764,0
765,2
766,1
767,0
768,2
769,3
770,3
771,2
772,0
773,1
774,0
775,1
776,3
777,3
778,2
779,2
780,2
781,0
782,3
783,1
784,0
785,0
786,2
787,1
788,0
789,2
790,1
791,3
792,1
793,3
794,0
795,2
796,1
797,0
798,0
799,0
800,3
801,1
802,1
803,2
804,3
805,0
806,0
807,3
808,2
809,1
810,1
811,2
812,0
813,3
814,2
815,1
816,0
817,2
818,3
819,3
820,0
821,2
822,0
823,0
824,3
825,2
826,0
827,0
828,1
829,3
830,0
831,0
832,2
833,1
834,3
835,1
836,2
837,2
838,2
839,3
840,0
841,2
842,1
843,3
844,0
845,2
846,0
847,2
848,2
849,0
850,3
851,1
852,1
853,0
854,0
855,3
856,0
857,1
858,0
859,3
860,0
861,1
862,2
863,2
864,0
865,2
866,3
867,0
868,3
869,3
870,0
871,1
872,1
873,2
874,0
875,0
876,1
877,0
878,2
879,3
880,3
881,0
882,1
883,3
884,0
885,3
886,2
887,2
888,3
889,2
890,3
891,0
892,1
893,2
894,0
895,1
896,0
897,1
898,3
899,1
900,3
901,0
902,2
903,2
904,1
905,1
906,3
907,1
908,2
909,0
910,2
911,1
912,0
913,3
914,2
915,0
916,0
917,3
918,1
919,1
920,3
921,0
922,2
923,0
924,1
925,0
926,3
927,3
928,1
929,0
930,3
931,2
932,1
933,2
934,1
935,2
936,1
937,3
938,1
939,3
940,1
941,2
942,2
943,3
944,3
945,2
946,1
947,2
948,0
949,3
950,2
951,2
952,1
953,1
954,2
955,3
956,2
957,0
958,0
959,0
960,3
961,1
962,0
963,0
964,2
965,0
966,1
967,3
968,1
969,0
970,2
971,0
972,1
973,0
974,1
975,2
976,0
977,3
978,0
979,0
980,1
981,0
982,2
983,1
984,0
985,0
986,3
987,2
988,3
989,3
990,1
991,1
992,1
993,3
994,2
995,3
996,0
997,1
998,2
999,3
1000,0
1001,1
1002,0
1003,3
1004,3
1005,1
1006,0
1007,2
1008,2
1009,3
1010,2
1011,2
1012,2
1013,0
1014,2
1015,2
1016,1
1017,0
1018,3
1019,1
1020,1
1021,1
1022,2
1023,1
1024,3
1025,0
1026,2
1027,1
1028,2
1029,0
1030,0
1031,1
1032,2
1033,1
1034,3
1035,1
1036,3
1037,0
1038,2
1039,2
1040,0
1041,2
1042,3
1043,1
1044,0
1045,3
1046,0
1047,2
1048,0
1049,1
1050,3
1051,2
1052,3
1053,0
1054,3
1055,1
1056,0
1057,1
1058,1
1059,3
1060,0
1061,2
1062,1
1063,0
1064,2
1065,0
1066,0
1067,0
1068,1
1069,1
1070,0
1071,3
1072,2
1073,2
1074,2
1075,1
1076,0
1077,1
1078,1
1079,0
1080,3
1081,0
1082,1
1083,3
1084,3
1085,0
1086,2
1087,0
1088,3
1089,2
